periode_update_x,kabupaten_kota,wilayah_sungai,jumlah_curah_hujan_rerata,bulan,kejadian_banjir,periode_update_y
Januari 2023,pacitan,ws bengawan solo,251.47,januari,0,Tahun 2023
Februari 2023,pacitan,ws bengawan solo,788.13,februari,0,Tahun 2023
Maret 2023,pacitan,ws bengawan solo,1057.33,maret,0,Tahun 2023
April 2023,pacitan,ws bengawan solo,1236.87,april,0,Tahun 2023
Mei 2023,pacitan,ws bengawan solo,1330.4,mei,0,Tahun 2023
Januari 2023,ponorogo,ws bengawan solo,209.22,januari,0,Tahun 2023
Februari 2023,ponorogo,ws bengawan solo,610.26,februari,0,Tahun 2023
Maret 2023,ponorogo,ws bengawan solo,889.93,maret,0,Tahun 2023
April 2023,ponorogo,ws bengawan solo,996.61,april,0,Tahun 2023
Mei 2023,ponorogo,ws bengawan solo,1083.13,mei,0,Tahun 2023
Januari 2023,trenggalek,ws brantas,185.08,januari,1,Tahun 2023
Februari 2023,trenggalek,ws brantas,566.67,februari,1,Tahun 2023
Maret 2023,trenggalek,ws brantas,801.83,maret,1,Tahun 2023
April 2023,trenggalek,ws brantas,966.67,april,1,Tahun 2023
Mei 2023,trenggalek,ws brantas,1062.67,mei,1,Tahun 2023
Januari 2023,tulungagung,ws brantas,196.33,januari,0,Tahun 2023
Februari 2023,tulungagung,ws brantas,509.0,februari,0,Tahun 2023
Maret 2023,tulungagung,ws brantas,809.0,maret,0,Tahun 2023
April 2023,tulungagung,ws brantas,969.67,april,0,Tahun 2023
Mei 2023,tulungagung,ws brantas,1050.67,mei,0,Tahun 2023
Januari 2023,blitar,ws brantas,255.33,januari,5,Tahun 2023
Februari 2023,blitar,ws brantas,660.0,februari,5,Tahun 2023
Maret 2023,blitar,ws brantas,1002.89,maret,5,Tahun 2023
April 2023,blitar,ws brantas,1223.22,april,5,Tahun 2023
Mei 2023,blitar,ws brantas,1363.33,mei,5,Tahun 2023
Januari 2023,kediri,ws brantas,192.04,januari,4,Tahun 2023
Februari 2023,kediri,ws brantas,606.42,februari,4,Tahun 2023
Maret 2023,kediri,ws brantas,922.33,maret,4,Tahun 2023
April 2023,kediri,ws brantas,1106.13,april,4,Tahun 2023
Mei 2023,kediri,ws brantas,1162.27,mei,4,Tahun 2023
Januari 2023,malang,ws brantas,257.57,januari,4,Tahun 2023
Februari 2023,malang,ws brantas,551.46,februari,4,Tahun 2023
Maret 2023,malang,ws brantas,864.43,maret,4,Tahun 2023
April 2023,malang,ws brantas,1123.0,april,4,Tahun 2023
Mei 2023,malang,ws brantas,1190.71,mei,4,Tahun 2023
Januari 2023,lumajang,ws bondoyudo bedadung,230.85,januari,5,Tahun 2023
Februari 2023,lumajang,ws bondoyudo bedadung,573.09,februari,5,Tahun 2023
Maret 2023,lumajang,ws bondoyudo bedadung,782.61,maret,5,Tahun 2023
April 2023,lumajang,ws bondoyudo bedadung,944.11,april,5,Tahun 2023
Mei 2023,lumajang,ws bondoyudo bedadung,1019.77,mei,5,Tahun 2023
Januari 2023,jombang,ws brantas,211.31,januari,7,Tahun 2023
Februari 2023,jombang,ws brantas,596.69,februari,7,Tahun 2023
Maret 2023,jombang,ws brantas,985.15,maret,7,Tahun 2023
April 2023,jombang,ws brantas,1247.46,april,7,Tahun 2023
